Website,No.,Headline
https://beminimalist.co/,1,B12 + Repair Complex 5.5% Moisturizer
,2,Anti Dandruff Shampoo 3.5%
,3,Our Best Sellers
,4,Shop by Category
,5,Shop by Concerns
,6,New Launches
,7,The future of personal care is here
,8,Company Overview
,9,Quick Links
,10,Contact Us
https://www.geeksforgeeks.org/,1,Courses
,2,Must Explore
,3,Explore
,4,Must Explore
,5,DSA
,6,Web Development
,7,AI ML & Data Science
,8,Programming Languages
,9,Interview Preparation
,10,CS Subjects
https://www.morphe.com/,1,Added to your bag
,2,Morphe homepage
,3,Region Search
,4,Complete the Look
,5,Main navigation
,6,Main navigation
,7,Beauty is in the Details
,8,New Arrivals
,9,BEST SELLERS
,10,Put your eyes in the spotlight
